idx,glass_id,cooling_type,fatigue_cycles,t_battery,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,energy
0,0,fast,0,0.38,0,0,0.0000,1,1.12732,0.14961,-5.9912
1,0,fast,5,0.38,0,1,0.0250,1,1.12899,0.15248,-5.3692
2,0,fast,10,0.38,0,2,0.0500,1,1.12464,0.14780,-5.3924
3,0,fast,15,0.38,0,3,0.0750,1,1.12815,0.15152,-5.4171
4,0,fast,20,0.38,0,4,0.1000,1,1.12771,0.15102,-5.4623
5,0,fast,30,0.38,0,5,0.1500,1,1.12603,0.14881,-5.3770
6,0,fast,40,0.38,0,6,0.2000,1,1.12479,0.14599,-5.5629
7,0,fast,50,0.38,0,7,0.2500,1,1.11957,0.14109,-5.4760
8,0,fast,75,0.38,0,8,0.3750,1,1.13013,0.15097,-6.1888
9,0,fast,100,0.38,0,9,0.5000,1,1.13037,0.15253,-6.3174
10,0,fast,150,0.38,0,10,0.7500,1,1.13518,0.15764,-6.2656
11,0,fast,200,0.38,0,11,1.0000,1,1.13527,0.15777,-6.3095
12,1,fast,0,0.38,0,0,0.0000,1,1.12373,0.14601,-5.9931
13,1,fast,5,0.38,0,1,0.0250,1,1.12477,0.14818,-5.5350
14,1,fast,10,0.38,0,2,0.0500,1,1.12083,0.14380,-5.4999
15,1,fast,15,0.38,0,3,0.0750,1,1.12086,0.14367,-5.5457
16,1,fast,20,0.38,0,4,0.1000,1,1.12308,0.14708,-5.4827
17,1,fast,30,0.38,0,5,0.1500,1,1.12114,0.14390,-5.4345
18,1,fast,40,0.38,0,6,0.2000,1,1.12268,0.14501,-5.4865
19,1,fast,50,0.38,0,7,0.2500,1,1.12028,0.14235,-5.5002
20,1,fast,75,0.38,0,8,0.3750,1,1.12501,0.14788,-5.4691
21,1,fast,100,0.38,0,9,0.5000,1,1.12279,0.14460,-5.4483
22,1,fast,150,0.38,0,10,0.7500,1,1.12860,0.14962,-6.1067
23,1,fast,200,0.38,0,11,1.0000,1,1.12887,0.14994,-6.1463
24,2,fast,0,0.38,0,0,0.0000,1,1.13443,0.15850,-6.4714
25,2,fast,5,0.38,0,1,0.0250,1,1.13121,0.15588,-5.8627
26,2,fast,10,0.38,0,2,0.0500,1,1.13250,0.15609,-5.9381
27,2,fast,15,0.38,0,3,0.0750,1,1.12604,0.14738,-6.0429
28,2,fast,20,0.38,0,4,0.1000,1,1.12713,0.14744,-6.2677
29,2,fast,30,0.38,0,5,0.1500,1,1.12541,0.14589,-6.2293
30,2,fast,40,0.38,0,6,0.2000,1,1.12714,0.14691,-6.2871
31,2,fast,50,0.38,0,7,0.2500,1,1.12526,0.14514,-6.3038
32,2,fast,75,0.38,0,8,0.3750,1,1.12679,0.14774,-6.2209
33,2,fast,100,0.38,0,9,0.5000,1,1.12608,0.14697,-6.2635
34,2,fast,150,0.38,0,10,0.7500,1,1.12435,0.14452,-6.2976
35,2,fast,200,0.38,0,11,1.0000,1,1.12506,0.14511,-6.3140
36,3,fast,0,0.38,0,0,0.0000,1,1.12250,0.14458,-5.9526
37,3,fast,5,0.38,0,1,0.0250,1,1.12487,0.14873,-5.2809
38,3,fast,10,0.38,0,2,0.0500,1,1.12076,0.14493,-5.2535
39,3,fast,15,0.38,0,3,0.0750,1,1.12504,0.14883,-5.3654
40,3,fast,20,0.38,0,4,0.1000,1,1.12033,0.13815,-5.7679
41,3,fast,30,0.38,0,5,0.1500,1,1.13685,0.15892,-5.9276
42,3,fast,40,0.38,0,6,0.2000,1,1.13258,0.15390,-5.9429
43,3,fast,50,0.38,0,7,0.2500,1,1.13712,0.15905,-6.0358
44,3,fast,75,0.38,0,8,0.3750,1,1.13415,0.15657,-6.0351
45,3,fast,100,0.38,0,9,0.5000,1,1.13194,0.15345,-5.9222
46,3,fast,150,0.38,0,10,0.7500,1,1.13450,0.15696,-5.7931
47,3,fast,200,0.38,0,11,1.0000,1,1.13399,0.15623,-6.0012
48,4,fast,0,0.38,0,0,0.0000,1,1.12026,0.14157,-5.9982
49,4,fast,5,0.38,0,1,0.0250,1,1.12464,0.14765,-5.3609
50,4,fast,10,0.38,0,2,0.0500,1,1.12626,0.14860,-5.4297
51,4,fast,15,0.38,0,3,0.0750,1,1.11926,0.13942,-5.5756
52,4,fast,20,0.38,0,4,0.1000,1,1.13243,0.15525,-6.0964
53,4,fast,30,0.38,0,5,0.1500,1,1.12967,0.15169,-6.0727
54,4,fast,40,0.38,0,6,0.2000,1,1.12494,0.14646,-6.1345
55,4,fast,50,0.38,0,7,0.2500,1,1.12947,0.15135,-6.0740
56,4,fast,75,0.38,0,8,0.3750,1,1.13133,0.15404,-6.1027
57,4,fast,100,0.38,0,9,0.5000,1,1.13050,0.15269,-6.0518
58,4,fast,150,0.38,0,10,0.7500,1,1.12436,0.14446,-6.1279
59,4,fast,200,0.38,0,11,1.0000,1,1.12434,0.14437,-6.1674
60,5,fast,0,0.38,0,0,0.0000,1,1.12397,0.14632,-6.0722
61,5,fast,5,0.38,0,1,0.0250,1,1.13909,0.16433,-6.2845
62,5,fast,10,0.38,0,2,0.0500,1,1.14096,0.16553,-6.2106
63,5,fast,15,0.38,0,3,0.0750,1,1.14071,0.16590,-6.3013
64,5,fast,20,0.38,0,4,0.1000,1,1.14062,0.16587,-6.1793
65,5,fast,30,0.38,0,5,0.1500,1,1.14204,0.16669,-6.2565
66,5,fast,40,0.38,0,6,0.2000,1,1.14060,0.16527,-6.2033
67,5,fast,50,0.38,0,7,0.2500,1,1.13986,0.16484,-6.1793
68,5,fast,75,0.38,0,8,0.3750,1,1.13941,0.16406,-6.2532
69,5,fast,100,0.38,0,9,0.5000,1,1.14215,0.16734,-6.2957
70,5,fast,150,0.38,0,10,0.7500,1,1.13979,0.16455,-6.3861
71,5,fast,200,0.38,0,11,1.0000,1,1.14337,0.16838,-6.2980
72,6,fast,0,0.38,0,0,0.0000,1,1.12427,0.14601,-6.0447
73,6,fast,5,0.38,0,1,0.0250,1,1.11953,0.14120,-5.5492
74,6,fast,10,0.38,0,2,0.0500,1,1.12408,0.14626,-5.4303
75,6,fast,15,0.38,0,3,0.0750,1,1.12254,0.14487,-5.4082
76,6,fast,20,0.38,0,4,0.1000,1,1.12270,0.14455,-5.4406
77,6,fast,30,0.38,0,5,0.1500,1,1.12253,0.14394,-5.6054
78,6,fast,40,0.38,0,6,0.2000,1,1.12158,0.14343,-5.6198
79,6,fast,50,0.38,0,7,0.2500,1,1.12106,0.14241,-5.6549
80,6,fast,75,0.38,0,8,0.3750,1,1.12639,0.14634,-5.7382
