idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,t_battery,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy
0,0,fast,40,0,0.42,0,0,0.0000,1,1.12732,0.14961,14.70,-5.9912
1,0,fast,40,50,0.42,0,1,0.1250,1,1.12921,0.15022,14.82,-6.1157
2,0,fast,40,100,0.42,0,2,0.2500,1,1.12909,0.15144,14.78,-6.1684
3,0,fast,40,150,0.42,0,3,0.3750,1,1.13450,0.15761,14.98,-6.1645
4,0,fast,40,200,0.42,0,4,0.5000,1,1.12806,0.14819,14.80,-6.1576
5,0,fast,40,250,0.42,0,5,0.6250,1,1.13176,0.15226,14.94,-6.1623
6,0,fast,40,300,0.42,0,6,0.7500,1,1.12799,0.14935,14.77,-6.1156
7,0,fast,40,350,0.42,0,7,0.8750,1,1.12757,0.14843,14.76,-6.1743
8,0,fast,40,400,0.42,0,8,1.0000,1,1.13252,0.15334,14.95,-6.1765
9,1,fast,40,0,0.42,0,0,0.0000,1,1.12373,0.14601,14.57,-5.9931
10,1,fast,40,50,0.42,0,1,0.1250,1,1.12017,0.14422,14.42,-5.3281
11,1,fast,40,100,0.42,0,2,0.2500,1,1.12317,0.14555,14.57,-5.4426
12,1,fast,40,150,0.42,0,3,0.3750,1,1.12923,0.14994,14.84,-6.0458
13,1,fast,40,200,0.42,0,4,0.5000,1,1.12915,0.14969,14.85,-6.0747
14,1,fast,40,250,0.42,0,5,0.6250,1,1.12608,0.14571,14.73,-6.2846
15,1,fast,40,300,0.42,0,6,0.7500,1,1.13379,0.15439,15.02,-6.2305
16,1,fast,40,350,0.42,0,7,0.8750,1,1.12789,0.14790,14.80,-6.0810
17,1,fast,40,400,0.42,0,8,1.0000,1,1.12648,0.14644,14.73,-6.1720
18,2,fast,40,0,0.42,0,0,0.0000,1,1.13443,0.15850,14.96,-6.4714
19,2,fast,40,50,0.42,0,1,0.1250,1,1.12481,0.14471,14.66,-6.2123
20,2,fast,40,100,0.42,0,2,0.2500,1,1.12697,0.14763,14.73,-6.1907
21,2,fast,40,150,0.42,0,3,0.3750,1,1.12523,0.14578,14.66,-6.2115
22,2,fast,40,200,0.42,0,4,0.5000,1,1.12502,0.14514,14.66,-6.2322
23,2,fast,40,250,0.42,0,5,0.6250,1,1.12573,0.14499,14.71,-6.2594
24,2,fast,40,300,0.42,0,6,0.7500,1,1.12806,0.14903,14.77,-6.1614
25,2,fast,40,350,0.42,0,7,0.8750,1,1.12816,0.14983,14.75,-6.1805
26,2,fast,40,400,0.42,0,8,1.0000,1,1.12664,0.14681,14.73,-6.2054
27,3,fast,40,0,0.42,0,0,0.0000,1,1.12250,0.14458,14.52,-5.9526
28,3,fast,40,50,0.42,0,1,0.1250,1,1.14234,0.16737,15.23,-6.3448
29,3,fast,40,100,0.42,0,2,0.2500,1,1.14292,0.16825,15.25,-6.2168
30,3,fast,40,150,0.42,0,3,0.3750,1,1.14008,0.16445,15.17,-6.1110
31,3,fast,40,200,0.42,0,4,0.5000,1,1.13564,0.15947,14.99,-6.2877
32,3,fast,40,250,0.42,0,5,0.6250,1,1.13628,0.15975,15.04,-6.1039
33,3,fast,40,300,0.42,0,6,0.7500,1,1.13584,0.15956,15.02,-6.3525
34,3,fast,40,350,0.42,0,7,0.8750,1,1.13656,0.16244,15.01,-6.2437
35,3,fast,40,400,0.42,0,8,1.0000,1,1.13404,0.15826,14.93,-6.1712
36,4,fast,40,0,0.42,0,0,0.0000,1,1.12026,0.14157,14.45,-5.9982
37,4,fast,40,50,0.42,0,1,0.1250,1,1.12529,0.14617,14.70,-5.8916
38,4,fast,40,100,0.42,0,2,0.2500,1,1.12407,0.14438,14.66,-5.9200
39,4,fast,40,150,0.42,0,3,0.3750,1,1.12451,0.14496,14.66,-5.9193
40,4,fast,40,200,0.42,0,4,0.5000,1,1.12865,0.14948,14.80,-6.1407
41,4,fast,40,250,0.42,0,5,0.6250,1,1.13502,0.15830,14.97,-6.1830
42,4,fast,40,300,0.42,0,6,0.7500,1,1.13627,0.16056,15.01,-6.1342
43,4,fast,40,350,0.42,0,7,0.8750,1,1.13652,0.16045,15.02,-6.0558
44,4,fast,40,400,0.42,0,8,1.0000,1,1.13427,0.15835,14.92,-6.1580
45,5,fast,40,0,0.42,0,0,0.0000,1,1.12397,0.14632,14.58,-6.0722
46,5,fast,40,50,0.42,0,1,0.1250,1,1.13937,0.16441,15.12,-6.0810
47,5,fast,40,100,0.42,0,2,0.2500,1,1.14284,0.16733,15.23,-6.2330
48,5,fast,40,150,0.42,0,3,0.3750,1,1.14296,0.16833,15.21,-6.3380
49,5,fast,40,200,0.42,0,4,0.5000,1,1.14021,0.16571,15.10,-6.2006
50,5,fast,40,250,0.42,0,5,0.6250,1,1.14342,0.16846,15.24,-6.2650
51,5,fast,40,300,0.42,0,6,0.7500,1,1.14337,0.16780,15.26,-6.2000
52,5,fast,40,350,0.42,0,7,0.8750,1,1.13972,0.16529,15.09,-6.1387
53,5,fast,40,400,0.42,0,8,1.0000,1,1.14414,0.16864,15.28,-6.1677
54,6,fast,40,0,0.42,0,0,0.0000,1,1.12427,0.14601,14.59,-6.0447
55,6,fast,40,50,0.42,0,1,0.1250,1,1.13069,0.15381,14.84,-5.9386
56,6,fast,40,100,0.42,0,2,0.2500,1,1.12848,0.15095,14.77,-5.8351
57,6,fast,40,150,0.42,0,3,0.3750,1,1.12805,0.15008,14.76,-5.8689
58,6,fast,40,200,0.42,0,4,0.5000,1,1.13087,0.15327,14.85,-5.8012
59,6,fast,40,250,0.42,0,5,0.6250,1,1.12739,0.14949,14.73,-5.8203
60,6,fast,40,300,0.42,0,6,0.7500,1,1.12515,0.14746,14.63,-5.7856
61,6,fast,40,350,0.42,0,7,0.8750,1,1.12731,0.14929,14.73,-5.8644
62,6,fast,40,400,0.42,0,8,1.0000,1,1.13058,0.15374,14.84,-5.8238
63,7,fast,40,0,0.42,0,0,0.0000,1,1.12208,0.14683,14.46,-5.9691
64,7,fast,40,50,0.42,0,1,0.1250,1,1.12795,0.15175,14.73,-5.7222
65,7,fast,40,100,0.42,0,2,0.2500,1,1.13302,0.15918,14.85,-5.9202
66,7,fast,40,150,0.42,0,3,0.3750,1,1.13246,0.15836,14.84,-5.8415
67,7,fast,40,200,0.42,0,4,0.5000,1,1.13524,0.16076,14.95,-5.8777
68,7,fast,40,250,0.42,0,5,0.6250,1,1.13790,0.16285,15.07,-5.9076
69,7,fast,40,300,0.42,0,6,0.7500,1,1.13580,0.16195,14.95,-5.8893
70,7,fast,40,350,0.42,0,7,0.8750,1,1.13537,0.16200,14.94,-5.9017
71,7,fast,40,400,0.42,0,8,1.0000,1,1.13680,0.16240,15.01,-5.9125
72,8,fast,40,0,0.42,0,0,0.0000,1,1.12010,0.14275,14.41,-6.0357
73,8,fast,40,50,0.42,0,1,0.1250,1,1.12935,0.14978,14.83,-6.0977
74,8,fast,40,100,0.42,0,2,0.2500,1,1.13674,0.15753,15.12,-6.0525
75,8,fast,40,150,0.42,0,3,0.3750,1,1.13212,0.15253,14.96,-6.0282
76,8,fast,40,200,0.42,0,4,0.5000,1,1.13314,0.15357,14.98,-6.1216
