idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,t_battery,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy
0,0,fast,40,0,0.44,0,0,0.0000,1,1.12455,0.14799,14.57,-6.0287
1,0,fast,40,50,0.44,0,1,0.1250,1,1.13397,0.15970,14.88,-6.1391
2,0,fast,40,100,0.44,0,2,0.2500,1,1.13853,0.16427,15.02,-6.3205
3,0,fast,40,150,0.44,0,3,0.3750,1,1.14021,0.16542,15.10,-6.2705
4,0,fast,40,200,0.44,0,4,0.5000,1,1.13904,0.16424,15.05,-6.1606
5,0,fast,40,250,0.44,0,5,0.6250,1,1.13577,0.16060,14.95,-6.2019
6,0,fast,40,300,0.44,0,6,0.7500,1,1.13827,0.16414,15.01,-6.2976
7,0,fast,40,350,0.44,0,7,0.8750,1,1.13812,0.16336,15.02,-6.2584
8,0,fast,40,400,0.44,0,8,1.0000,1,1.13848,0.16388,15.03,-6.2354
9,1,fast,40,0,0.44,0,0,0.0000,1,1.11552,0.13424,14.34,-6.2343
10,1,fast,40,50,0.44,0,1,0.1250,1,1.11660,0.13653,14.37,-5.6242
11,1,fast,40,100,0.44,0,2,0.2500,1,1.12115,0.14220,14.52,-5.6237
12,1,fast,40,150,0.44,0,3,0.3750,1,1.11503,0.13476,14.31,-5.5496
13,1,fast,40,200,0.44,0,4,0.5000,1,1.11890,0.13966,14.43,-5.5968
14,1,fast,40,250,0.44,0,5,0.6250,1,1.11621,0.13593,14.34,-5.7329
15,1,fast,40,300,0.44,0,6,0.7500,1,1.11710,0.13665,14.38,-5.6164
16,1,fast,40,350,0.44,0,7,0.8750,1,1.11715,0.13701,14.39,-5.6000
17,1,fast,40,400,0.44,0,8,1.0000,1,1.12164,0.14252,14.54,-5.6461
18,2,fast,40,0,0.44,0,0,0.0000,1,1.12343,0.14778,14.51,-5.8769
19,2,fast,40,50,0.44,0,1,0.1250,1,1.12111,0.14396,14.47,-5.2703
20,2,fast,40,100,0.44,0,2,0.2500,1,1.11912,0.13905,14.46,-5.4444
21,2,fast,40,150,0.44,0,3,0.3750,1,1.12029,0.14018,14.51,-5.3979
22,2,fast,40,200,0.44,0,4,0.5000,1,1.11912,0.13915,14.46,-5.5805
23,2,fast,40,250,0.44,0,5,0.6250,1,1.11887,0.13841,14.46,-5.5517
24,2,fast,40,300,0.44,0,6,0.7500,1,1.12033,0.14108,14.50,-5.5492
25,2,fast,40,350,0.44,0,7,0.8750,1,1.11619,0.13562,14.36,-5.5616
26,2,fast,40,400,0.44,0,8,1.0000,1,1.12149,0.14183,14.55,-5.5092
27,3,fast,40,0,0.44,0,0,0.0000,1,1.12626,0.15000,14.63,-6.0092
28,3,fast,40,50,0.44,0,1,0.1250,1,1.13374,0.15876,14.90,-5.9410
29,3,fast,40,100,0.44,0,2,0.2500,1,1.13361,0.15822,14.91,-5.9974
30,3,fast,40,150,0.44,0,3,0.3750,1,1.13257,0.15712,14.87,-6.0260
31,3,fast,40,200,0.44,0,4,0.5000,1,1.13321,0.15808,14.88,-6.0826
32,3,fast,40,250,0.44,0,5,0.6250,1,1.13385,0.15843,14.91,-6.1017
33,3,fast,40,300,0.44,0,6,0.7500,1,1.13212,0.15695,14.84,-5.9779
34,3,fast,40,350,0.44,0,7,0.8750,1,1.13247,0.15693,14.86,-6.0541
35,3,fast,40,400,0.44,0,8,1.0000,1,1.13237,0.15735,14.85,-5.9120
36,4,fast,40,0,0.44,0,0,0.0000,1,1.12429,0.14595,14.59,-6.0550
37,4,fast,40,50,0.44,0,1,0.1250,1,1.13315,0.15581,14.93,-5.9770
38,4,fast,40,100,0.44,0,2,0.2500,1,1.13182,0.15461,14.88,-6.0183
39,4,fast,40,150,0.44,0,3,0.3750,1,1.13343,0.15705,14.92,-5.9506
40,4,fast,40,200,0.44,0,4,0.5000,1,1.13125,0.15434,14.84,-5.9831
41,4,fast,40,250,0.44,0,5,0.6250,1,1.13787,0.16220,15.08,-5.9983
42,4,fast,40,300,0.44,0,6,0.7500,1,1.12940,0.15225,14.80,-5.9129
43,4,fast,40,350,0.44,0,7,0.8750,1,1.13175,0.15390,14.88,-6.0294
44,4,fast,40,400,0.44,0,8,1.0000,1,1.13299,0.15561,14.92,-6.0673
45,5,fast,40,0,0.44,0,0,0.0000,1,1.10601,0.11897,14.06,-6.5489
46,5,fast,40,50,0.44,0,1,0.1250,1,1.12435,0.14401,14.68,-6.0845
47,5,fast,40,100,0.44,0,2,0.2500,1,1.12961,0.14966,14.86,-6.1368
48,5,fast,40,150,0.44,0,3,0.3750,1,1.12515,0.14485,14.69,-6.0598
49,5,fast,40,200,0.44,0,4,0.5000,1,1.12826,0.14793,14.83,-6.0427
50,5,fast,40,250,0.44,0,5,0.6250,1,1.12390,0.14300,14.66,-6.1542
51,5,fast,40,300,0.44,0,6,0.7500,1,1.12282,0.14214,14.60,-6.0908
52,5,fast,40,350,0.44,0,7,0.8750,1,1.12647,0.14689,14.73,-6.1198
53,5,fast,40,400,0.44,0,8,1.0000,1,1.12660,0.14628,14.75,-6.0986
54,6,fast,40,0,0.44,0,0,0.0000,1,1.12027,0.14172,14.45,-6.1109
55,6,fast,40,50,0.44,0,1,0.1250,1,1.11557,0.13493,14.34,-5.8134
56,6,fast,40,100,0.44,0,2,0.2500,1,1.11397,0.13240,14.30,-5.6386
57,6,fast,40,150,0.44,0,3,0.3750,1,1.11318,0.13024,14.29,-5.6645
58,6,fast,40,200,0.44,0,4,0.5000,1,1.11592,0.13515,14.35,-5.6434
