idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,t_battery,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy
0,0,fast,40,0,0.38,0,0,0.0000,1,1.12455,0.14799,14.57,-6.0287
1,0,fast,40,50,0.38,0,1,0.1250,1,1.13417,0.15785,14.92,-6.4202
2,0,fast,40,100,0.38,0,2,0.2500,1,1.13399,0.15794,14.91,-6.5547
3,0,fast,40,150,0.38,0,3,0.3750,1,1.13473,0.15817,14.95,-6.4625
4,0,fast,40,200,0.38,0,4,0.5000,1,1.13349,0.15755,14.88,-6.4125
5,0,fast,40,250,0.38,0,5,0.6250,1,1.13214,0.15553,14.85,-6.4795
6,0,fast,40,300,0.38,0,6,0.7500,1,1.13616,0.15982,15.00,-6.4700
7,0,fast,40,350,0.38,0,7,0.8750,1,1.13188,0.15518,14.84,-6.4748
8,0,fast,40,400,0.38,0,8,1.0000,1,1.13386,0.15756,14.91,-6.4754
9,1,fast,40,0,0.38,0,0,0.0000,1,1.11552,0.13424,14.34,-6.2343
10,1,fast,40,50,0.38,0,1,0.1250,1,1.11876,0.13852,14.45,-5.7422
11,1,fast,40,100,0.38,0,2,0.2500,1,1.12148,0.14128,14.55,-5.7844
12,1,fast,40,150,0.38,0,3,0.3750,1,1.12074,0.14127,14.52,-5.7298
13,1,fast,40,200,0.38,0,4,0.5000,1,1.11729,0.13664,14.41,-5.6754
14,1,fast,40,250,0.38,0,5,0.6250,1,1.11782,0.13692,14.42,-5.8063
15,1,fast,40,300,0.38,0,6,0.7500,1,1.11644,0.13550,14.37,-5.7063
16,1,fast,40,350,0.38,0,7,0.8750,1,1.11764,0.13672,14.41,-5.7505
17,1,fast,40,400,0.38,0,8,1.0000,1,1.12024,0.14001,14.50,-5.7558
18,2,fast,40,0,0.38,0,0,0.0000,1,1.12343,0.14778,14.51,-5.8769
19,2,fast,40,50,0.38,0,1,0.1250,1,1.12292,0.14592,14.52,-5.4414
20,2,fast,40,100,0.38,0,2,0.2500,1,1.12416,0.14713,14.57,-5.4891
21,2,fast,40,150,0.38,0,3,0.3750,1,1.12338,0.14629,14.55,-5.4239
22,2,fast,40,200,0.38,0,4,0.5000,1,1.12677,0.15028,14.65,-5.4450
23,2,fast,40,250,0.38,0,5,0.6250,1,1.12292,0.14639,14.52,-5.5177
