sample_idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy_per_atom
0,0,fast,40,0,0,0,0.0000,1,1.12277,0.14556,14.52,-6.0247
1,0,fast,40,200,0,1,0.5000,1,1.13368,0.15632,14.95,-6.3354
2,0,fast,40,400,0,2,1.0000,1,1.13386,0.15715,14.95,-6.3400
3,1,fast,40,0,0,0,0.0000,1,1.12370,0.14608,14.55,-6.0419
4,1,fast,40,200,0,1,0.5000,1,1.14253,0.16695,15.23,-6.4858
5,1,fast,40,400,0,2,1.0000,1,1.14114,0.16579,15.17,-6.5362
6,2,fast,40,0,0,0,0.0000,1,1.12585,0.14900,14.62,-5.9965
7,2,fast,40,200,0,1,0.5000,1,1.14061,0.16451,15.16,-6.5161
8,2,fast,40,400,0,2,1.0000,1,1.14173,0.16540,15.22,-6.5080
9,3,fast,40,0,0,0,0.0000,1,1.12162,0.14469,14.47,-5.9630
10,3,fast,40,200,0,1,0.5000,1,1.13275,0.15429,14.96,-6.2337
11,3,fast,40,400,0,2,1.0000,1,1.13251,0.15402,14.95,-6.2240
12,4,fast,40,0,0,0,0.0000,1,1.12325,0.14660,14.52,-5.9650
13,4,fast,40,200,0,1,0.5000,1,1.13014,0.15255,14.82,-5.9878
14,4,fast,40,400,0,2,1.0000,1,1.12971,0.15200,14.81,-6.0175
15,5,fast,40,0,0,0,0.0000,1,1.12266,0.14539,14.51,-5.9733
16,5,fast,40,200,0,1,0.5000,1,1.12581,0.14941,14.63,-5.4619
17,5,fast,40,400,0,2,1.0000,1,1.13964,0.16312,15.15,-6.4819
18,6,fast,40,0,0,0,0.0000,1,1.12188,0.14464,14.48,-6.0104
19,6,fast,40,200,0,1,0.5000,1,1.12460,0.14859,14.58,-5.3500
20,6,fast,40,400,0,2,1.0000,1,1.13630,0.16034,15.03,-6.1074
21,7,fast,40,0,0,0,0.0000,1,1.12477,0.14762,14.58,-6.0216
22,7,fast,40,200,0,1,0.5000,1,1.13506,0.15869,14.99,-6.2677
23,7,fast,40,400,0,2,1.0000,1,1.13544,0.15890,15.00,-6.2648
24,8,fast,40,0,0,0,0.0000,1,1.12489,0.14832,14.58,-5.9827
25,8,fast,40,200,0,1,0.5000,1,1.13251,0.15594,14.90,-6.4520
26,8,fast,40,400,0,2,1.0000,1,1.13003,0.15341,14.80,-6.3958
27,9,fast,40,0,0,0,0.0000,1,1.12530,0.14819,14.62,-5.9771
28,9,fast,40,200,0,1,0.5000,1,1.13924,0.16239,15.16,-6.4353
29,9,fast,40,400,0,2,1.0000,1,1.13425,0.15689,14.98,-6.4375
30,10,fast,40,0,0,0,0.0000,1,1.12356,0.14634,14.55,-5.9771
31,10,fast,40,200,0,1,0.5000,1,1.12474,0.14748,14.60,-5.5319
32,10,fast,40,400,0,2,1.0000,1,1.13674,0.16097,15.02,-6.4852
33,11,fast,40,0,0,0,0.0000,1,1.12498,0.14753,14.60,-6.0024
34,11,fast,40,200,0,1,0.5000,1,1.12578,0.14800,14.67,-5.6697
35,11,fast,40,400,0,2,1.0000,1,1.12780,0.15021,14.74,-5.8142
36,12,fast,40,0,0,0,0.0000,1,1.12437,0.14734,14.57,-5.9929
37,12,fast,40,200,0,1,0.5000,1,1.12598,0.14778,14.68,-5.5954
38,12,fast,40,400,0,2,1.0000,1,1.12554,0.14754,14.66,-5.6690
39,13,fast,40,0,0,0,0.0000,1,1.12511,0.14868,14.59,-5.9751
40,13,fast,40,200,0,1,0.5000,1,1.14537,0.17077,15.32,-6.4599
41,13,fast,40,400,0,2,1.0000,1,1.14381,0.16946,15.25,-6.3836
42,14,fast,40,0,0,0,0.0000,1,1.12293,0.14606,14.51,-5.9762
43,14,fast,40,200,0,1,0.5000,1,1.13944,0.16383,15.13,-6.5136
44,14,fast,40,400,0,2,1.0000,1,1.13818,0.16270,15.07,-6.5236
45,15,fast,40,0,0,0,0.0000,1,1.12499,0.14847,14.59,-5.9706
46,15,fast,40,200,0,1,0.5000,1,1.13614,0.16115,14.99,-6.2488
47,15,fast,40,400,0,2,1.0000,1,1.13632,0.16146,14.99,-6.3532
