sample_idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy_per_atom
0,0,fast,40,0,0,0,0.0000,1,1.12732,0.14961,14.70,-5.9912
1,0,fast,40,50,0,1,0.1250,1,1.12324,0.14625,14.54,-5.3626
2,0,fast,40,100,0,2,0.2500,1,1.12404,0.14723,14.56,-5.4078
3,0,fast,40,150,0,3,0.3750,1,1.12306,0.13914,14.68,-5.8389
4,0,fast,40,200,0,4,0.5000,1,1.12581,0.14296,14.77,-5.8295
5,0,fast,40,250,0,5,0.6250,1,1.14391,0.16902,15.26,-6.6772
6,0,fast,40,300,0,6,0.7500,1,1.14437,0.16931,15.27,-6.6704
7,0,fast,40,350,0,7,0.8750,1,1.14308,0.16832,15.22,-6.6684
8,0,fast,40,400,0,8,1.0000,1,1.13944,0.16505,15.07,-6.6719
9,1,fast,40,0,0,0,0.0000,1,1.12373,0.14601,14.57,-5.9931
10,1,fast,40,50,0,1,0.1250,1,1.12937,0.15001,14.85,-5.9451
11,1,fast,40,100,0,2,0.2500,1,1.11224,0.12743,14.29,-5.9797
12,1,fast,40,150,0,3,0.3750,1,1.12468,0.14378,14.70,-5.9758
13,1,fast,40,200,0,4,0.5000,1,1.12799,0.14874,14.78,-6.0246
14,1,fast,40,250,0,5,0.6250,1,1.13257,0.15307,14.97,-6.0926
15,1,fast,40,300,0,6,0.7500,1,1.13041,0.15029,14.91,-6.1723
16,1,fast,40,350,0,7,0.8750,1,1.12849,0.14939,14.80,-5.9516
17,1,fast,40,400,0,8,1.0000,1,1.12324,0.14250,14.62,-6.0798
18,2,fast,40,0,0,0,0.0000,1,1.13443,0.15850,14.96,-6.4714
19,2,fast,40,50,0,1,0.1250,1,1.12493,0.14492,14.66,-6.1224
20,2,fast,40,100,0,2,0.2500,1,1.12590,0.14675,14.68,-6.1065
21,2,fast,40,150,0,3,0.3750,1,1.12302,0.14336,14.57,-6.0940
22,2,fast,40,200,0,4,0.5000,1,1.12413,0.14450,14.62,-6.1450
23,2,fast,40,250,0,5,0.6250,1,1.12620,0.14566,14.73,-6.1789
24,2,fast,40,300,0,6,0.7500,1,1.12755,0.14840,14.75,-6.0228
25,2,fast,40,350,0,7,0.8750,1,1.12678,0.14835,14.70,-6.0939
26,2,fast,40,400,0,8,1.0000,1,1.12515,0.14526,14.67,-6.0900
27,3,fast,40,0,0,0,0.0000,1,1.12250,0.14458,14.52,-5.9526
28,3,fast,40,50,0,1,0.1250,1,1.14131,0.16717,15.16,-6.1755
29,3,fast,40,100,0,2,0.2500,1,1.14007,0.16640,15.09,-5.9933
30,3,fast,40,150,0,3,0.3750,1,1.13611,0.16144,14.97,-6.0107
31,3,fast,40,200,0,4,0.5000,1,1.13926,0.16378,15.10,-6.1271
32,3,fast,40,250,0,5,0.6250,1,1.13748,0.16242,15.03,-5.9969
33,3,fast,40,300,0,6,0.7500,1,1.14023,0.16466,15.14,-6.1774
34,3,fast,40,350,0,7,0.8750,1,1.13921,0.16377,15.11,-6.0905
35,3,fast,40,400,0,8,1.0000,1,1.13768,0.16160,15.07,-5.9861
36,4,fast,40,0,0,0,0.0000,1,1.12026,0.14157,14.45,-5.9982
37,4,fast,40,50,0,1,0.1250,1,1.12388,0.14369,14.64,-5.9862
38,4,fast,40,100,0,2,0.2500,1,1.12308,0.14219,14.62,-6.0703
39,4,fast,40,150,0,3,0.3750,1,1.12271,0.14233,14.59,-6.0103
40,4,fast,40,200,0,4,0.5000,1,1.12385,0.14278,14.66,-6.1592
41,4,fast,40,250,0,5,0.6250,1,1.12060,0.13928,14.53,-6.1095
42,4,fast,40,300,0,6,0.7500,1,1.12159,0.14017,14.57,-6.0738
43,4,fast,40,350,0,7,0.8750,1,1.12403,0.14348,14.66,-5.9828
44,4,fast,40,400,0,8,1.0000,1,1.12272,0.14233,14.59,-6.1325
45,5,fast,40,0,0,0,0.0000,1,1.12397,0.14632,14.58,-6.0722
46,5,fast,40,50,0,1,0.1250,1,1.14066,0.16524,15.18,-5.9661
47,5,fast,40,100,0,2,0.2500,1,1.14057,0.16528,15.14,-6.1738
48,5,fast,40,150,0,3,0.3750,1,1.13930,0.16432,15.09,-6.1989
49,5,fast,40,200,0,4,0.5000,1,1.14060,0.16578,15.13,-6.1275
50,5,fast,40,250,0,5,0.6250,1,1.14108,0.16575,15.17,-6.1580
51,5,fast,40,300,0,6,0.7500,1,1.14147,0.16668,15.17,-6.0691
52,5,fast,40,350,0,7,0.8750,1,1.14124,0.16550,15.19,-5.9766
53,5,fast,40,400,0,8,1.0000,1,1.14139,0.16603,15.19,-6.0975
54,6,fast,40,0,0,0,0.0000,1,1.12427,0.14601,14.59,-6.0447
55,6,fast,40,50,0,1,0.1250,1,1.12740,0.14772,14.77,-6.0564
56,6,fast,40,100,0,2,0.2500,1,1.13042,0.15141,14.88,-5.9782
57,6,fast,40,150,0,3,0.3750,1,1.12885,0.14991,14.80,-6.0212
58,6,fast,40,200,0,4,0.5000,1,1.12804,0.14819,14.80,-5.9631
59,6,fast,40,250,0,5,0.6250,1,1.12531,0.14421,14.72,-5.9719
60,6,fast,40,300,0,6,0.7500,1,1.12740,0.14732,14.78,-5.9808
61,6,fast,40,350,0,7,0.8750,1,1.12607,0.14627,14.71,-5.9259
62,6,fast,40,400,0,8,1.0000,1,1.12914,0.14942,14.84,-5.9969
63,7,fast,40,0,0,0,0.0000,1,1.12208,0.14683,14.46,-5.9691
64,7,fast,40,50,0,1,0.1250,1,1.12298,0.14624,14.54,-5.0798
65,7,fast,40,100,0,2,0.2500,1,1.12428,0.14704,14.60,-5.4317
