sample_idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy_per_atom
0,0,fast,40,0,0,0,0.0000,1,1.12732,0.14961,14.70,-5.9912
1,0,fast,40,200,0,1,0.5000,1,1.12806,0.14819,14.80,-6.1576
2,0,fast,40,400,0,2,1.0000,1,1.13252,0.15334,14.95,-6.1765
3,1,fast,40,0,0,0,0.0000,1,1.12373,0.14601,14.57,-5.9931
4,1,fast,40,200,0,1,0.5000,1,1.12915,0.14969,14.85,-6.0747
5,1,fast,40,400,0,2,1.0000,1,1.12648,0.14644,14.73,-6.1720
6,2,fast,40,0,0,0,0.0000,1,1.13443,0.15850,14.96,-6.4714
7,2,fast,40,200,0,1,0.5000,1,1.12502,0.14514,14.66,-6.2322
8,2,fast,40,400,0,2,1.0000,1,1.12664,0.14681,14.73,-6.2054
9,3,fast,40,0,0,0,0.0000,1,1.12250,0.14458,14.52,-5.9526
10,3,fast,40,200,0,1,0.5000,1,1.13564,0.15947,14.99,-6.2877
11,3,fast,40,400,0,2,1.0000,1,1.13404,0.15826,14.93,-6.1712
12,4,fast,40,0,0,0,0.0000,1,1.12026,0.14157,14.45,-5.9982
13,4,fast,40,200,0,1,0.5000,1,1.12865,0.14948,14.80,-6.1407
14,4,fast,40,400,0,2,1.0000,1,1.13427,0.15835,14.92,-6.1580
15,5,fast,40,0,0,0,0.0000,1,1.12397,0.14632,14.58,-6.0722
16,5,fast,40,200,0,1,0.5000,1,1.14021,0.16571,15.10,-6.2006
17,5,fast,40,400,0,2,1.0000,1,1.14414,0.16864,15.28,-6.1677
18,6,fast,40,0,0,0,0.0000,1,1.12427,0.14601,14.59,-6.0447
19,6,fast,40,200,0,1,0.5000,1,1.13087,0.15327,14.85,-5.8012
20,6,fast,40,400,0,2,1.0000,1,1.13058,0.15374,14.84,-5.8238
21,7,fast,40,0,0,0,0.0000,1,1.12208,0.14683,14.46,-5.9691
22,7,fast,40,200,0,1,0.5000,1,1.13524,0.16076,14.95,-5.8777
23,7,fast,40,400,0,2,1.0000,1,1.13680,0.16240,15.01,-5.9125
